quintile,mean_income,estimate,standard_error,ci_low,ci_high,unweighted_n
Q1 (lowest 20%),5725.64728801586,8145.608778441568,350.41474273550097,7458.795882679986,8832.42167420315,4449
Q2,31932.981053515166,8003.021320300949,192.99751803046308,7624.746184961241,8381.296455640657,4713
Q3,62035.55972092838,10827.359987856998,191.87181706239215,10451.291226414709,11203.428749299288,4607
Q4,107527.25131640586,14651.57935425288,206.19772143427332,14247.431820241705,15055.726888264056,4592
Q5 (highest 20%),247109.05702929143,23825.81123522683,454.6027432973705,22934.789858363984,24716.832612089675,4815
